edu,n,mean_educ,mean_lnwage,label,label_zh,delta_lnwage,delta_educ,adjacent_slope,exact_change_pct
0.0,243,0.0,9.604076493753116,Illiterate,文盲,,,,
1.0,589,6.0,10.147627943883046,Primary,小学,0.5435514501299306,6.0,0.09059190835498843,9.482212631836218
2.0,1463,9.0,10.16893618378824,Junior high,初中,0.021308239905193815,3.0,0.007102746635064605,0.7128030967231469
3.0,774,12.0,10.475949380178829,High school,高中,0.30701319639058866,3.0,0.10233773213019622,10.77575338696306
4.0,702,15.0,10.815204858073214,College,大专,0.33925547789438504,3.0,0.11308515929812835,11.972728407811806
5.0,824,16.0,11.153258961916018,Bachelor,本科,0.3380541038428042,1.0,0.3380541038428042,40.221636664693406
6.0,91,19.0,11.584569444898326,Master,硕士,0.43131048298230823,3.0,0.14377016099410275,15.461870161108271
7.0,13,22.0,11.977835090660294,Doctorate,博士,0.3932656457619679,3.0,0.13108854858732263,14.006872831791028
