model,coef,se,lower,upper,pvalue,nobs,rsq
"Years, basic controls",0.08816088731927053,0.0059727070227825136,0.07645438155461681,0.09986739308392426,2.628346038417569e-49,4699.0,0.15774170631721496
"Years, rich controls",0.08237984695343381,0.006346559888045065,0.06994058957286549,0.09481910433400213,1.5839118445938407e-38,4637.0,0.16300157335725007
"College, basic controls",0.7404642107690679,0.04875958294390601,0.6448954281990121,0.8360329933391236,4.376725883021179e-52,4699.0,0.1534772206486823
"College, rich controls",0.6948580423839386,0.04970267612740444,0.5974407971742258,0.7922752875936513,2.0563576118619992e-44,4637.0,0.16165368488321996
Winsorized wage,0.7316859626757259,0.04849067927029392,0.6366442313059498,0.8267276940455021,1.907167940062234e-51,4699.0,0.15173703255228888
Positive wage only,0.6438043316463865,0.029386410528890804,0.5862069670097605,0.7014016962830125,2.16832426585589e-106,4638.0,0.28530765398900304
