birth_year,n,college_share,mean_educ
1971.0,142,0.11267605633802817,8.584507042253522
1972.0,118,0.22033898305084745,8.661016949152541
1973.0,138,0.15217391304347827,8.942028985507246
1974.0,106,0.1792452830188679,9.38679245283019
1975.0,108,0.2037037037037037,9.435185185185185
1976.0,125,0.184,9.64
1977.0,95,0.28421052631578947,10.357894736842105
1978.0,107,0.2523364485981308,10.093457943925234
1979.0,110,0.20909090909090908,9.8
1980.0,104,0.2980769230769231,10.682692307692308
1981.0,108,0.25925925925925924,10.36111111111111
1982.0,119,0.2857142857142857,11.302521008403362
1983.0,125,0.36,11.384
1984.0,106,0.37735849056603776,11.29245283018868
1985.0,115,0.4,11.669565217391304
1986.0,166,0.4939759036144578,12.518072289156626
1987.0,179,0.4245810055865922,11.726256983240223
1988.0,171,0.5029239766081871,12.830409356725147
1989.0,172,0.5174418604651163,12.680232558139535
1990.0,190,0.5684210526315789,13.547368421052632
1991.0,150,0.5733333333333334,13.306666666666667
