college,lnwage,propensity,weight
0,11.002116507732017,0.08656239884763793,1.0947655304953876
1,14.403297778421795,0.21242001805008615,4.707654246428939
1,11.941462360646149,0.9075617668567838,1.1018533795924033
0,11.440365524765756,0.13936378347089604,1.161931116532537
1,12.206077645517674,0.861869540907696,1.160268407846075
0,10.819798284210286,0.3490909854307582,1.5363130293437086
0,10.596659732783579,0.039528071705054964,1.0411548433021112
0,9.392745258631441,0.694392098385632,3.2721667035358664
0,8.517393171418904,0.34935612434167956,1.536939080519588
0,10.915106645867503,0.03284681749453139,1.0339623733744427
0,10.778977123006351,0.2545341710735065,1.341443110061863
0,8.699681400989514,0.2611563806362463,1.3534663815072774
0,11.51293546492023,0.13164856665015043,1.1516074731889234
0,11.002116507732017,0.8256701351352859,5.736251793552607
0,10.819798284210286,0.05966730993831915,1.0634534038526358
1,12.206077645517674,0.3329076918144405,3.0038356715332073
1,11.19822841866684,0.751984333557609,1.3298149381238282
1,12.611541086966115,0.6128604259188248,1.631692890760176
1,11.002116507732017,0.6691906439876203,1.494342470243053
0,10.043292972227004,0.119470817732753,1.1356807021717683
0,10.453947265542192,0.42668286164994124,1.744235316037971
0,11.51293546492023,0.1348452950052097,1.1558626384699853
0,11.156264806643742,0.1259025704549516,1.144037227658342
0,10.12667110305036,0.4469107412849455,1.8080264337861407
0,11.557784101278456,0.17461822895987966,1.2115605591093093
1,11.80186424743109,0.8629640236057594,1.1587968590181283
1,10.463131911491967,0.7954495189488601,1.2571508011236734
0,10.584081267024454,0.16667273069249341,1.2000087322607338
0,10.819798284210286,0.5552469862526612,2.2484389517101584
0,10.896757843893464,0.15981656948636255,1.190216283352149
0,11.002116507732017,0.15115921067828567,1.1780772231728789
0,9.392745258631441,0.03768878301048947,1.0391648588783937
0,10.440010162389305,0.598285599776011,2.4893307271096514
0,10.596659732783579,0.7523200374683064,4.037468311034803
0,9.53249633228804,0.04325416925131933,1.0452096762391656
0,10.534785924769006,0.6708217842136363,3.037868097107005
1,11.156264806643742,0.04609185218085458,21.695808536316
1,12.25486757159303,0.4564242420353885,2.190944099595976
1,12.345838935721968,0.5007916224896706,1.9968385154458652
0,9.923339198238729,0.1984211669061452,1.2475379322833398
0,10.778977123006351,0.2158419005321061,1.2752530397614588
1,11.918397239722838,0.3560925990889624,2.808258308536681
1,11.87757552297847,0.7159575220132776,1.396730908263933
1,12.657151449598695,0.2968252769620296,3.36898531767536
0,10.645448706505872,0.14744613621461328,1.1729464172034179
0,10.596659732783579,0.04315860492805678,1.0451052861533145
0,11.156264806643742,0.3770173620001023,1.605181170394293
1,11.695255355062795,0.33313313085568463,3.0018029051370645
1,9.97119292889014,0.3907133948603202,2.5594208265050638
0,11.156264806643742,0.19736064747502305,1.2458895727628574
0,10.308985993422082,0.44589855579112686,1.8047236845371615
0,10.2328272702548,0.3860842512858991,1.6288880063666482
0,11.082157933374816,0.5167010093745124,2.0691125357116835
0,10.12667110305036,0.44589855579112686,1.8047236845371615
1,10.819798284210286,0.4533907903538983,2.2056028072812
1,13.122365377402328,0.7270623537007825,1.3753978526187631
0,10.085850775128717,0.6503552980344278,2.86004619654859
1,11.264476926102367,0.5626853595691936,1.7771921429866697
0,9.392745258631441,0.08459321869398449,1.0924105222088205
0,11.1154434073529,0.3093990453529587,1.448014216127299
0,11.07443600653965,0.4746918351701547,1.9036445023159196
0,11.097425172408931,0.055254154750413405,1.0584857345795642
1,12.611541086966115,0.055541741175273086,18.00447697245032
1,10.308985993422082,0.1420985854301689,7.037367732921079
0,10.896757843893464,0.5326602138433056,2.139770739880276
0,11.19822841866684,0.43800133654969264,1.7793636622917366
0,11.177466714598282,0.6182899983858082,2.6197898817719123
0,10.463131911491967,0.6352980094659625,2.741964743695772
1,11.695255355062795,0.4224070203953239,2.3673848958857646
0,11.050905878263567,0.6168615626932261,2.6100226514191087
0,11.289794413577894,0.050084388509399114,1.0527250925277531
0,12.345838935721968,0.20858668370505243,1.2635622618552393
0,11.407576060361786,0.6069948426421524,2.5444958705451755
0,10.308985993422082,0.41063881007433883,1.6967523771392794
1,9.680406499268875,0.5707515899413702,1.752075714940582
0,8.594339400592892,0.7294552013425986,3.696245520012116
0,11.552155793461898,0.594761263391622,2.467681170782048
0,10.961295207644392,0.199358477125906,1.24899842367688
1,10.851296331126829,0.6239631937686396,1.6026586343341138
0,11.002116507732017,0.45094631795212325,1.8213155337929259
0,11.608244735642321,0.5239403467437774,2.100577087682297
0,10.491301994830229,0.4202542641559438,1.7248941012806114
