group,coef,se,lower,upper,pvalue,nobs,rsq
Women,0.10984208321638064,0.009099529929683492,0.092007004554201,0.1276771618785603,1.4996439478317305e-33,1996.0,0.15460840641910145
Men,0.06709324925293297,0.006715946017473255,0.0539299950586854,0.08025650344718055,1.6834171426669488e-23,2703.0,0.14495279366198677
Non-rural hukou,0.14685518592048452,0.019782728092954217,0.10808103885829426,0.18562933298267478,1.1414777950123722e-13,962.0,0.1435174964981154
Rural hukou,0.07740918199107027,0.006353372792487252,0.06495657131779525,0.0898617926643453,3.784925789916344e-34,3737.0,0.1284450205205574
