spec,learner,n,treated_share,ate,se,ci_low,ci_high,auc,p01,p05,p50,p95,p99
Core,Linear,4699,0.3468823153862524,0.7726460211277059,0.055090737031491976,0.6646681765459816,0.8806238657094301,0.8141770965143219,0.014389257670351612,0.026618947739095615,0.30741228530632864,0.8109234748746369,0.9046972690313198
Core,GBM,4699,0.3468823153862524,0.7206424775625234,0.05525435335180713,0.6123439449929815,0.8289410101320653,0.8223611535901265,0.02339597763427238,0.031849023206153446,0.2929326062058701,0.8194661851800131,0.8835455145137295
Core plus,Linear,4699,0.3468823153862524,0.7729652485122539,0.05481312086503159,0.665531531616792,0.8803989654077158,0.8134945337003521,0.013941999448397257,0.026527659134157354,0.3075001523781299,0.811831303353518,0.9066555937191085
Core plus,GBM,4699,0.3468823153862524,0.7153855946385046,0.05695395388155452,0.6037558450306577,0.8270153442463515,0.8237300773417932,0.02266281043028229,0.032633478846538354,0.2952131253940133,0.8141598282595117,0.8857217766021668
Extended,Linear,4699,0.3468823153862524,0.7203166944762511,0.051680332207712246,0.6190232433491352,0.8216101456033671,0.8267912651150332,0.0021829567850351382,0.006899325122559687,0.3122394886927716,0.8223438191639446,0.9097923991589127
Extended,GBM,4699,0.3468823153862524,0.6859027839513675,0.04888712507250216,0.5900840188092633,0.7817215490934717,0.8430685241490704,0.009663537178912237,0.017412937337448194,0.2941507562203189,0.83002476014858,0.9041550425976841
