edu,n,label,share
0.0,243,Illiterate,5.171313045328794
1.0,589,Primary,12.534581825920409
2.0,1463,Junior high,31.1342838901894
3.0,774,High school,16.471589699936157
4.0,702,College,14.939348797616514
5.0,824,Bachelor,17.535645882102575
6.0,91,Master,1.9365822515428814
7.0,13,Doctorate,0.2766546073632688
